生產順序,母卷數量,裁切規格(mm),刀數,合計寬度(mm),與前一刀路刀具移動距離(mm)
1,31,2200 + 2200 + 2200,3,6600,0
2,31,2150 + 2150 + 2300,3,6600,150
3,26,2100 + 2250 + 2250,3,6600,100
4,35,2100 + 2100 + 2400,3,6600,150
5,51,2050 + 2050 + 2500,3,6600,150
6,4,2000 + 2150 + 2450,3,6600,100
7,15,2000 + 2300 + 2300,3,6600,150
8,16,1900 + 2350 + 2350,3,6600,150
9,16,1800 + 2400 + 2400,3,6600,150
10,21,1700 + 2450 + 2450,3,6600,150
11,27,1600 + 2500 + 2500,3,6600,150
12,1,1600 + 2450 + 2550,3,6600,50
13,1,1500 + 2550 + 2550,3,6600,100
14,29,1400 + 2600 + 2600,3,6600,150
15,4,1650 + 2300 + 2650,3,6600,300
16,1,1600 + 2000 + 3000,3,6600,400
17,5,1800 + 1800 + 3000,3,6600,200
18,3,1750 + 1750 + 3100,3,6600,150
19,1,1700 + 1750 + 3150,3,6600,100
20,1,1650 + 1800 + 3150,3,6600,50
21,1,1300 + 2150 + 3150,3,6600,350
22,1,1300 + 2450 + 2850,3,6600,300
23,3,1500 + 2250 + 2850,3,6600,200
24,43,1700 + 2100 + 2800,3,6600,250
25,13,1750 + 2000 + 2850,3,6600,100
26,3,1850 + 1850 + 2900,3,6600,150
27,10,1800 + 2150 + 2650,3,6600,300
28,5,1800 + 2250 + 2550,3,6600,100
29,6,1750 + 2300 + 2550,3,6600,50
30,3,1900 + 2150 + 2550,3,6600,150
31,8,2000 + 2000 + 2600,3,6600,150
32,25,1950 + 1950 + 2700,3,6600,150
33,26,1900 + 2000 + 2700,3,6600,50
34,11,1000 + 1050 + 1800 + 2750,4,6600,1200
35,12,950 + 1200 + 1950 + 2500,4,6600,400
36,9,950 + 1350 + 1900 + 2400,4,6600,250
37,1,1050 + 1200 + 1900 + 2450,4,6600,200
38,1,1050 + 1300 + 1700 + 2550,4,6600,200
39,20,1200 + 1300 + 1700 + 2400,4,6600,450
40,1,1300 + 1400 + 1400 + 2500,4,6600,400
41,7,1200 + 1450 + 1650 + 2300,4,6600,350
42,2,1200 + 1500 + 1800 + 2100,4,6600,250
43,1,1150 + 1500 + 1850 + 2100,4,6600,100
44,1,1150 + 1500 + 1900 + 2050,4,6600,50
45,1,1150 + 1550 + 1900 + 2000,4,6600,100
46,11,1200 + 1550 + 1850 + 2000,4,6600,100
47,5,1200 + 1600 + 1800 + 2000,4,6600,50
48,1,1050 + 1750 + 1800 + 2000,4,6600,150
49,1,1050 + 1450 + 2000 + 2100,4,6600,400
50,1,1250 + 1250 + 2000 + 2100,4,6600,200
51,27,1300 + 1400 + 1900 + 2000,4,6600,350
52,35,1350 + 1400 + 1850 + 2000,4,6600,100
53,1,1300 + 1500 + 1800 + 2000,4,6600,100
54,2,1300 + 1550 + 1750 + 2000,4,6600,50
55,2,1250 + 1700 + 1750 + 1900,4,6600,250
56,4,1350 + 1650 + 1700 + 1900,4,6600,150
57,6,1400 + 1500 + 1700 + 2000,4,6600,250
58,2,1350 + 1450 + 1550 + 2250,4,6600,400
59,1,1350 + 1350 + 1750 + 2150,4,6600,200
60,5,1500 + 1500 + 1500 + 2100,4,6600,500
61,1,1500 + 1550 + 1750 + 1800,4,6600,350
62,5,1550 + 1650 + 1700 + 1700,4,6600,300
63,7,1650 + 1650 + 1650 + 1650,4,6600,250
64,1,1250 + 1250 + 1250 + 1350 + 1500,5,6600,2700
65,2,1300 + 1300 + 1300 + 1350 + 1350,5,6600,450
